model,accuracy,precision_epistemic,recall_epistemic,f1_epistemic,precision_non_epistemic,recall_non_epistemic,f1_non_epistemic,precision_macro,recall_macro,f1_macro,kappa_vs_human,p_value_vs_random,cm_tp_epistemic,cm_fn_epistemic,cm_fp_epistemic,cm_tn_non_epistemic
Random,0.5434782608695652,0.5454545454545454,0.5217391304347826,0.5333333333333333,0.5416666666666666,0.5652173913043478,0.5531914893617021,0.543560606060606,0.5434782608695652,0.5432624113475177,-0.003795066413662118,0.3293690385118282,12,11,10,13
Majority,0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.25,0.5,0.3333333333333333,0.0,0.5585020439388018,23,0,23,0
Heuristic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.4210854715202004e-14,23,0,0,23
GPT-3.5-turbo,0.8695652173913043,1.0,0.7391304347826086,0.85,0.7931034482758621,1.0,0.8846153846153846,0.896551724137931,0.8695652173913043,0.8673076923076923,0.6441005802707931,1.5514018514295458e-07,17,6,0,23
GPT-4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9130434782608696,1.4210854715202004e-14,23,0,0,23
Human (Majority),0.9565217391304348,1.0,0.9130434782608695,0.9545454545454546,0.92,1.0,0.9583333333333334,0.96,0.9565217391304348,0.956439393939394,1.0,1.5376144801848568e-11,21,2,0,23
